Sample,Sample_name,Sample_id,Stage,Site,Rotation,Replicate,Microhabitat,Rot_Comp,Year,Stage_Rep,Stage_Loc,Stage_Comp,Stage_Rot_Comp,Stage_Rot,Season,Site_year
KIT2W1BSR1,KIT2W1BS,Ki001,T2,Ki,W1,W1a,BS,W1_BS,Y2020,T2_W1a,T2_Ki,T2_BS,T2_W1_BS,T2_W1,Dry,Ki_2020
KIT2W1BSR2,KIT2W1BS,Ki002,T2,Ki,W1,W1b,BS,W1_BS,Y2020,T2_W1b,T2_Ki,T2_BS,T2_W1_BS,T2_W1,Dry,Ki_2020
KIT2W1BSR3,KIT2W1BS,Ki003,T2,Ki,W1,W1c,BS,W1_BS,Y2020,T2_W1c,T2_Ki,T2_BS,T2_W1_BS,T2_W1,Dry,Ki_2020
KIT2W1BSR4,KIT2W1BS,Ki004,T2,Ki,W1,W1d,BS,W1_BS,Y2020,T2_W1d,T2_Ki,T2_BS,T2_W1_BS,T2_W1,Dry,Ki_2020
KIT2W1RAR1,KIT2W1RA,Ki005,T2,Ki,W1,W1a,RA,W1_RA,Y2020,T2_W1a,T2_Ki,T2_RA,T2_W1_RA,T2_W1,Dry,Ki_2020
KIT2W1RAR2,KIT2W1RA,Ki006,T2,Ki,W1,W1b,RA,W1_RA,Y2020,T2_W1b,T2_Ki,T2_RA,T2_W1_RA,T2_W1,Dry,Ki_2020
KIT2W1RAR3,KIT2W1RA,Ki007,T2,Ki,W1,W1c,RA,W1_RA,Y2020,T2_W1c,T2_Ki,T2_RA,T2_W1_RA,T2_W1,Dry,Ki_2020
KIT2W1RAR4,KIT2W1RA,Ki008,T2,Ki,W1,W1d,RA,W1_RA,Y2020,T2_W1d,T2_Ki,T2_RA,T2_W1_RA,T2_W1,Dry,Ki_2020
KIT2W1RHR1,KIT2W1RH,Ki009,T2,Ki,W1,W1a,RH,W1_RH,Y2020,T2_W1a,T2_Ki,T2_RH,T2_W1_RH,T2_W1,Dry,Ki_2020
KIT2W1RHR2,KIT2W1RH,Ki010,T2,Ki,W1,W1b,RH,W1_RH,Y2020,T2_W1b,T2_Ki,T2_RH,T2_W1_RH,T2_W1,Dry,Ki_2020
KIT2W1RHR3,KIT2W1RH,Ki011,T2,Ki,W1,W1c,RH,W1_RH,Y2020,T2_W1c,T2_Ki,T2_RH,T2_W1_RH,T2_W1,Dry,Ki_2020
KIT2W1RHR4,KIT2W1RH,Ki012,T2,Ki,W1,W1d,RH,W1_RH,Y2020,T2_W1d,T2_Ki,T2_RH,T2_W1_RH,T2_W1,Dry,Ki_2020
KIT2W1RPR1,KIT2W1RP,Ki013,T2,Ki,W1,W1a,RP,W1_RP,Y2020,T2_W1a,T2_Ki,T2_RP,T2_W1_RP,T2_W1,Dry,Ki_2020
KIT2W1RPR2,KIT2W1RP,Ki014,T2,Ki,W1,W1b,RP,W1_RP,Y2020,T2_W1b,T2_Ki,T2_RP,T2_W1_RP,T2_W1,Dry,Ki_2020
KIT2W1RPR3,KIT2W1RP,Ki015,T2,Ki,W1,W1c,RP,W1_RP,Y2020,T2_W1c,T2_Ki,T2_RP,T2_W1_RP,T2_W1,Dry,Ki_2020
KIT2W1RPR4,KIT2W1RP,Ki016,T2,Ki,W1,W1d,RP,W1_RP,Y2020,T2_W1d,T2_Ki,T2_RP,T2_W1_RP,T2_W1,Dry,Ki_2020
KIT2W3BSR1,KIT2W3BS,Ki017,T2,Ki,W3,W3a,BS,W3_BS,Y2020,T2_W3a,T2_Ki,T2_BS,T2_W3_BS,T2_W3,Dry,Ki_2020
KIT2W3BSR2,KIT2W3BS,Ki018,T2,Ki,W3,W3b,BS,W3_BS,Y2020,T2_W3b,T2_Ki,T2_BS,T2_W3_BS,T2_W3,Dry,Ki_2020
KIT2W3BSR3,KIT2W3BS,Ki019,T2,Ki,W3,W3c,BS,W3_BS,Y2020,T2_W3c,T2_Ki,T2_BS,T2_W3_BS,T2_W3,Dry,Ki_2020
KIT2W3BSR4,KIT2W3BS,Ki020,T2,Ki,W3,W3d,BS,W3_BS,Y2020,T2_W3d,T2_Ki,T2_BS,T2_W3_BS,T2_W3,Dry,Ki_2020
KIT2W3RAR1,KIT2W3RA,Ki021,T2,Ki,W3,W3a,RA,W3_RA,Y2020,T2_W3a,T2_Ki,T2_RA,T2_W3_RA,T2_W3,Dry,Ki_2020
KIT2W3RAR2,KIT2W3RA,Ki022,T2,Ki,W3,W3b,RA,W3_RA,Y2020,T2_W3b,T2_Ki,T2_RA,T2_W3_RA,T2_W3,Dry,Ki_2020
KIT2W3RAR3,KIT2W3RA,Ki023,T2,Ki,W3,W3c,RA,W3_RA,Y2020,T2_W3c,T2_Ki,T2_RA,T2_W3_RA,T2_W3,Dry,Ki_2020
KIT2W3RAR4,KIT2W3RA,Ki024,T2,Ki,W3,W3d,RA,W3_RA,Y2020,T2_W3d,T2_Ki,T2_RA,T2_W3_RA,T2_W3,Dry,Ki_2020
